2010-01-03,651215
2010-01-10,825891
2010-01-17,659173
2010-01-24,507651
2010-01-31,538617
2010-02-07,512463
2010-02-14,482078
2010-02-21,458160
2010-02-28,474662
2010-03-07,462679
2010-03-14,439061
2010-03-21,413067
2010-03-28,412710
2010-04-04,421130
2010-04-11,514136
2010-04-18,436814
2010-04-25,429196
2010-05-02,399350
2010-05-09,414327
2010-05-16,414572
2010-05-23,410778
2010-05-30,418873
2010-06-06,398864
2010-06-13,448305
2010-06-20,427080
2010-06-27,444712
2010-07-04,470366
2010-07-11,515991
2010-07-18,502065
2010-07-25,413679
2010-08-01,402140
2010-08-08,425471
2010-08-15,405484
2010-08-22,384955
2010-08-29,383135
2010-09-05,381863
2010-09-12,341791
2010-09-19,382341
2010-09-26,372551
2010-10-03,373681
2010-10-10,462667
2010-10-17,394016
2010-10-24,408489
2010-10-31,421097
2010-11-07,452657
2010-11-14,409548
2010-11-21,464817
2010-11-28,412922
2010-12-05,585711
2010-12-12,491776
2010-12-19,495548
2010-12-26,525710
2011-01-02,578904
2011-01-09,773499
2011-01-16,549688
2011-01-23,485950
2011-01-30,464775
2011-02-06,440706
2011-02-13,424400
2011-02-20,380985
2011-02-27,353797
2011-03-06,407299
2011-03-13,371721
2011-03-20,354457
2011-03-27,357457
2011-04-03,353817
2011-04-10,448029
2011-04-17,381834
2011-04-24,387867
2011-05-01,415974
2011-05-08,397737
2011-05-15,361573
2011-05-22,376632
2011-05-29,381497
2011-06-05,366816
2011-06-12,400608
2011-06-19,394286
2011-06-26,406633
2011-07-03,425640
2011-07-10,473963
2011-07-17,470086
2011-07-24,369207
2011-07-31,341103
2011-08-07,354408
2011-08-14,346014
2011-08-21,344870
2011-08-28,336761
2011-09-04,348582
2011-09-11,328868
2011-09-18,353820
2011-09-25,328073
2011-10-02,332394
2011-10-09,405906
2011-10-16,357562
2011-10-23,377156
2011-10-30,369647
2011-11-06,402532
2011-11-13,363016
2011-11-20,440157
2011-11-27,372640
2011-12-04,528793
2011-12-11,435863
2011-12-18,421103
2011-12-25,497689
2012-01-01,540057
2012-01-08,646219
2012-01-15,525422
2012-01-22,416880
2012-01-29,422287
2012-02-05,401365
2012-02-12,365014
2012-02-19,346659
2012-02-26,334242
2012-03-04,368433
2012-03-11,340102
2012-03-18,319498
